filas, columnas, colores, tiempo,cantidad_fichas,,,,,
3,3,7,10000,9,,,,8 colores,
4,3,4,10000,12,,,,12,50000
4,3,6,20000,12,,,,16,280000
4,3,8,50000,12,,,,24,137600000
4,4,3,10000,16,,,,25,475060000
4,4,4,70000,16,,,,,
4,4,5,80000,16,,,,4 colores,
4,4,6,130000,16,,,,12,10000
4,4,7,530000,16,,,,16,70000
4,4,8,280000,16,,,,24,630000
4,6,2,440000,24,,,,25,8260000
4,6,4,630000,24,,,,,
4,6,5,191910000,24,,,,6 colores,
4,6,6,13840000,24,,,,12,20000
4,6,7,45170000,24,,,,16,130000
4,6,8,137600000,24,,,,24,13840000
5,5,3,6370000,25,,,,25,126220000
5,5,4,8260000,25,,,,,
5,5,5,19550000,25,,,,,
5,5,6,126220000,25,,,,,
5,5,7,66860000,25,,,,,
5,5,8,475060000,25,,,,,
3,9,2,80000,27,,,,,
3,9,4,147450000,27,,,,,
3,9,5,261620000,27,,,,,
3,9,6,1441080000,27,,,,,
